"","F1"
"1",-1.54907484153403
"2",-1.43802731135789
"3",-1.48525431759722
"4",-0.794283207795038
"5",-0.916291691989645
"6",-1.08187702561421
"7",-0.584408518671287
"8",-1.74904974617046
"9",-1.37563566936146
"10",-0.665580691572911
"11",0.197022943426328
"12",-0.6656429314017
"13",0.381076525679843
"14",0.416612006472444
"15",0.404940952062042
"16",0.948416905174219
"17",0.38634325855533
"18",1.09267486904091
"19",-0.375297677984944
"20",-2.00217801347282
"21",2.13543279228176
"22",2.08948883099774
"23",2.25597691350726
"24",3.39794556091647
"25",2.04915946618311
"26",-1.77198033685
"27",2.32604002970085
"28",-0.897618648306382
"29",1.83905160389189
"30",0.840181169104092
"31",0.155933271016012
"32",0.377045053458951
"33",2.84777142989554
"34",2.8065799443581
"35",2.63992253002922
"36",-0.79303357549989
"37",-0.589212102383567
"38",-0.840169417916515
"39",-0.385200963271346
"40",-1.49542693218903
"41",-1.07117160237077
"42",-0.98806419232859
"43",-0.746395984813979
